E/n [Td],n mu [m/(Td s)],err,Dl/mu [mV],err,Dt/mu [mV],err,energy [meV]
1,11.08,2.3,25.34,0,25.34,0,38.3
2,11.08,2.4,25.38,0,25.35,0,38.1
5,11.04,2.4,25.63,0,25.44,0,38.65
10,10.96,2.3,26.43,0.1,25.74,0.1,40.53
15,10.76,2.2,27.62,0.1,26.2,0.2,43.47
20,10.55,2,29.08,0.1,26.77,0.3,47.26
40,9.68,1.6,36.19,0.5,29.5,1,68.05
60,8.91,1.2,44.28,1.1,32.45,1.8,93.9
80,8.29,1,52.9,1.4,35.39,2.2,122.5
100,7.78,0.8,61.9,1.5,38.26,2.5,152.7
150,6.84,0.5,85.9,1.1,45.1,2.4,233.6
200,6.19,0.4,111.4,0.6,51.8,1.5,319.4
400,4.775,0.2,224.4,0.9,77.5,2.6,693.2
600,4.067,0.1,348.4,2.6,102.1,6.4,1098
800,3.62,0,479,3.5,125.5,9.7,1524
1000,3.303,0.6,616,3.2,149,14,1965
1200,3.064,0.9,753,2.7,173,16,2417
1500,2.79,0.7,972,1.8,207,23,3116